[INFO] | 2023-07-06 06:35:53 AM | analyzer.MultiSigWallet_1 | Analysis started at: 2023-07-06 06:35:53 AM
[INFO] | 2023-07-06 06:35:54 AM | analyzer.MultiSigWallet_1 | Version constraints: ['^0.4.11']
[INFO] | 2023-07-06 06:35:54 AM | analyzer.MultiSigWallet_1 | solc version: v0.4.11
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Callgraph generation started!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Callgraph generation finished!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Storage dependency graph generation started!
[WARNING] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Issues with getting the high level call destination address
[WARNING] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Issues with getting the high level call destination address
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Value Range Analysis started
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Range graph generated
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for fallback
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for fallback
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function fallback
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for isConfirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for isConfirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function isConfirmed
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for getConfirmationCount
[WARNING] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for getConfirmationCount
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function getConfirmationCount
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for getTransactionCount
[WARNING] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for getTransactionCount
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function getTransactionCount
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for getOwners
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for getOwners
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function getOwners
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for getConfirmations
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for getConfirmations
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function getConfirmations
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for getTransactionIds
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for getTransactionIds
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function getTransactionIds
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Generating return summary for validRequirement
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Return summary generated for validRequirement
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:35:55 AM | analyzer.MultiSigWallet_1 | Processed function validRequirement
