[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Analysis started at: 2023-07-07 08:59:10 AM
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Version constraints: ['^0.4.23']
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | solc version: v0.4.23
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Callgraph generation started!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Callgraph generation finished!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Storage dependency graph generation started!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Value Range Analysis started
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Generating return summary for store
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Return summary generated for store
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Range graph generated
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Processed function store
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Generating return summary for withdraw
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Return summary generated for withdraw
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Range graph generated
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Processed function withdraw
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Generating return summary for constructor
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Return summary generated for constructor
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Range graph generated
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Processed function constructor
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Value Range Analysis took 0.000708 seconds
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Value Range Analysis finished
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Storage dependency graph compostion started!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Dependency detection started!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | DAO dependency detected in file 0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2.sol in contract PoormansHoneyPot in by composing functions withdraw and withdraw
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Dependency detection finished!
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Static Analysis took 0.249856 seconds
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Dependency exists
[INFO] | 2023-07-07 08:59:10 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Invoking symbolic executor!
[INFO] | 2023-07-07 08:59:11 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Symbolic execution took 0.629923 seconds
[INFO] | 2023-07-07 08:59:11 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Symbolic execution finished!
[INFO] | 2023-07-07 08:59:11 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Analysis finished!
[INFO] | 2023-07-07 08:59:11 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Analysis took 0.880162 seconds
[INFO] | 2023-07-07 08:59:11 AM | analyzer.0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2 | Analysis finished at: 2023-07-07 08:59:11 AM
