[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Analysis started at: 2023-07-07 09:00:20 AM
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Version constraints: ['^0.4.25']
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | solc version: v0.4.25
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Callgraph generation started!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Callgraph generation finished!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Interprocedural CFG generation started!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Storage dependency graph generation started!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Storage dependency graph generation finished!
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Value Range Analysis started
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Generating return summary for PG_bank
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Return summary generated for PG_bank
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Range graph generated
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Processed function PG_bank
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Range graph generated
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Generating return summary for AddMessage
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Return summary generated for AddMessage
[INFO] | 2023-07-07 09:00:20 AM | analyzer.0xe0b0831d52d970298fe4a9dd4fe3f22bcd130fae | Range graph generated
