00m: 0 Edges, 0 Instrs
01m: 46 Edges, 502 Instrs
02m: 46 Edges, 502 Instrs
03m: 46 Edges, 502 Instrs
04m: 46 Edges, 502 Instrs
05m: 46 Edges, 502 Instrs
06m: 46 Edges, 502 Instrs
07m: 46 Edges, 502 Instrs
08m: 46 Edges, 502 Instrs
09m: 46 Edges, 502 Instrs
10m: 46 Edges, 502 Instrs
11m: 46 Edges, 502 Instrs
12m: 46 Edges, 502 Instrs
13m: 46 Edges, 502 Instrs
14m: 46 Edges, 502 Instrs
15m: 46 Edges, 502 Instrs
16m: 46 Edges, 502 Instrs
17m: 46 Edges, 502 Instrs
18m: 46 Edges, 502 Instrs
19m: 46 Edges, 502 Instrs
20m: 46 Edges, 502 Instrs
21m: 47 Edges, 502 Instrs
