00m: 0 Edges, 0 Instrs
01m: 32 Edges, 460 Instrs
02m: 32 Edges, 460 Instrs
03m: 32 Edges, 460 Instrs
04m: 32 Edges, 460 Instrs
05m: 32 Edges, 460 Instrs
06m: 32 Edges, 460 Instrs
07m: 32 Edges, 460 Instrs
08m: 32 Edges, 460 Instrs
09m: 32 Edges, 460 Instrs
10m: 32 Edges, 460 Instrs
11m: 32 Edges, 460 Instrs
12m: 32 Edges, 460 Instrs
13m: 32 Edges, 460 Instrs
14m: 32 Edges, 460 Instrs
15m: 32 Edges, 460 Instrs
16m: 32 Edges, 460 Instrs
17m: 32 Edges, 460 Instrs
18m: 32 Edges, 460 Instrs
19m: 33 Edges, 463 Instrs
