00m: 0 Edges, 0 Instrs
01m: 16 Edges, 211 Instrs
02m: 16 Edges, 211 Instrs
03m: 16 Edges, 211 Instrs
04m: 16 Edges, 211 Instrs
05m: 16 Edges, 211 Instrs
06m: 16 Edges, 211 Instrs
07m: 16 Edges, 211 Instrs
08m: 16 Edges, 211 Instrs
09m: 16 Edges, 211 Instrs
10m: 16 Edges, 211 Instrs
11m: 16 Edges, 211 Instrs
12m: 16 Edges, 211 Instrs
13m: 16 Edges, 211 Instrs
14m: 16 Edges, 211 Instrs
15m: 16 Edges, 211 Instrs
16m: 16 Edges, 211 Instrs
17m: 16 Edges, 211 Instrs
18m: 16 Edges, 211 Instrs
19m: 16 Edges, 211 Instrs
20m: 16 Edges, 211 Instrs
21m: 16 Edges, 211 Instrs
22m: 16 Edges, 211 Instrs
23m: 16 Edges, 211 Instrs
24m: 17 Edges, 218 Instrs
