00m: 0 Edges, 0 Instrs
01m: 0 Edges, 0 Instrs
02m: 436 Edges, 5375 Instrs
03m: 469 Edges, 5917 Instrs
04m: 476 Edges, 5985 Instrs
05m: 482 Edges, 6165 Instrs
06m: 506 Edges, 6543 Instrs
07m: 506 Edges, 6543 Instrs
08m: 514 Edges, 6716 Instrs
09m: 514 Edges, 6716 Instrs
10m: 514 Edges, 6716 Instrs
11m: 514 Edges, 6716 Instrs
12m: 514 Edges, 6716 Instrs
13m: 514 Edges, 6716 Instrs
14m: 514 Edges, 6716 Instrs
15m: 514 Edges, 6716 Instrs
16m: 514 Edges, 6716 Instrs
17m: 514 Edges, 6716 Instrs
18m: 514 Edges, 6716 Instrs
19m: 514 Edges, 6716 Instrs
20m: 514 Edges, 6716 Instrs
21m: 514 Edges, 6716 Instrs
22m: 514 Edges, 6716 Instrs
23m: 514 Edges, 6716 Instrs
24m: 514 Edges, 6716 Instrs
25m: 514 Edges, 6716 Instrs
26m: 514 Edges, 6716 Instrs
27m: 514 Edges, 6716 Instrs
28m: 514 Edges, 6716 Instrs
29m: 516 Edges, 6741 Instrs
30m: 518 Edges, 6753 Instrs
31m: 518 Edges, 6753 Instrs
32m: 518 Edges, 6753 Instrs
33m: 518 Edges, 6753 Instrs
34m: 518 Edges, 6753 Instrs
35m: 518 Edges, 6753 Instrs
36m: 522 Edges, 6764 Instrs
